00:13:72:87:7f:1f, 10.116.99.10, galilei_0
d8:50:e6:d5:55:71, 10.116.99.11, galilei_1
d8:50:e6:d5:53:37, 10.116.99.12, galilei_2
00:26:55:42:9a:e0, 10.116.99.13, galilei_3
00:24:81:92:05:dd, 10.116.99.14, galilei_4
24:be:05:1d:98:7c, 10.116.99.15, galilei_5
00:26:55:3e:3f:37, 10.116.99.16, galilei_6
d8:50:e6:d5:55:bd, 10.116.99.17, galilei_7
08:60:6e:6d:bc:5a, 10.116.99.18, galilei_8
00:25:b3:cc:63:26, 10.116.99.19, galilei_9
00:26:55:42:95:6b, 10.116.99.20, galilei_10
08:60:6e:6d:bb:ad, 10.116.99.21, galilei_11
24:be:05:10:98:53, 10.116.99.22, galilei_12
d8:50:e6:05:55:63, 10.116.99.23, galilei_13
d8:50:e6:05:53:b8, 10.116.99.24, galilei_14
d8:50:e6:05:55:96, 10.116.99.25, galilei_15
00:1a:4b:c5:60:f3, 10.116.99.26, galilei_16
00:1f:29:3a:2a:97, 10.116.99.27, galilei_17
d8:50:e6:05:55:93, 10.116.99.28, galilei_18
74:d0:2b:c5:78:3f, 10.116.99.29, galilei_19
74:d0:2b:c5:7d:bf, 10.116.99.30, galilei_20
00:24:81:92:07:ea, 10.116.99.31, galilei_21
d4:85:64:09:65:1f, 10.116.99.32, galilei_22
00:22:64:a6:ac:80, 10.116.99.33, galilei_23
d8:50:e6:d5:53:5a, 10.116.99.34, galilei_24
08:60:6e:6d:bc:51, 10.116.99.35, galilei_25
