00:13:72:87:7f:1f, 10.116.99.10, galilei_0
d8:50:e6:d5:55:71, 10.116.99.11, galilei_1
d8:50:e6:d5:53:37, 10.116.99.12, galilei_2
00:26:55:42:9a:e0, 10.116.99.13, galilei_3
00:24:81:92:05:dd, 10.116.99.14, galilei_4
24:be:05:1d:98:7c, 10.116.99.15, galilei_5
00:26:55:3e:3f:37, 10.116.99.16, galilei_6
d8:50:e6:d5:55:bd, 10.116.99.17, galilei_7
08:60:6e:6d:bc:5a, 10.116.99.18, galilei_8
00:25:b3:cc:63:26, 10.116.99.19, galilei_9
00:26:55:42:95:6b, 10.116.99.20, galilei_10
08:60:6e:6d:bb:ad, 10.116.99.21, galilei_11
24:be:05:10:98:53, 10.116.99.22, galilei_12
d8:50:e6:05:55:63, 10.116.99.23, galilei_13
d8:50:e6:05:53:b8, 10.116.99.24, galilei_14
d8:50:e6:05:55:96, 10.116.99.25, galilei_15
00:1a:4b:c5:60:f3, 10.116.99.26, galilei_16
00:1f:29:3a:2a:97, 10.116.99.27, galilei_17
d8:50:e6:05:55:93, 10.116.99.28, galilei_18
74:d0:2b:c5:78:3f, 10.116.99.29, galilei_19
74:d0:2b:c5:7d:bf, 10.116.99.30, galilei_20
00:24:81:92:07:ea, 10.116.99.31, galilei_21
d4:85:64:09:65:1f, 10.116.99.32, galilei_22
00:22:64:a6:ac:80, 10.116.99.33, galilei_23
d8:50:e6:d5:53:5a, 10.116.99.34, galilei_24
08:60:6e:6d:bc:51, 10.116.99.35, galilei_25
d8:50:e6:d5:55:b4, 10.116.99.41, faraday_0
00:26:55:42:98:a1, 10.116.99.42, faraday_1
00:26:55:42:9b:38, 10.116.99.43, faraday_2
00:24:81:92:06:31, 10.116.99.44, faraday_3
00:25:b3:cc:63:30, 10.116.99.45, faraday_4
00:22:64:a6:ac:79, 10.116.99.46, faraday_5
00:22:64:a6:ac:0f, 10.116.99.47, faraday_6
00:22:64:a7:34:3f, 10.116.99.48, faraday_7
00:26:55:42:9b:31, 10.116.99.49, faraday_8
00:25:b3:28:d9:56, 10.116.99.50, faraday_9
00:26:55:42:94:b3, 10.116.99.51, faraday_10
00:26:55:42:94:62, 10.116.99.52, faraday_11
00:26:55:42:98:8d, 10.116.99.53, faraday_12
00:26:55:42:95:7c, 10.116.99.54, faraday_13
00:26:55:42:9b:f5, 10.116.99.55, faraday_14
2c:41:38:a1:ec:8c, 10.116.99.56, faraday_15
2c:27:d7:40:49:9f, 10.116.99.57, faraday_16
2c:27:d7:1c:ae:df, 10.116.99.58, faraday_17
00:26:55:42:83:af, 10.116.99.59, faraday_18
08:2e:5f:28:dd:70, 10.116.99.60, faraday_19
00:25:b3:cc:63:27, 10.116.99.61, faraday_20
2c:41:38:a1:ec:85, 10.116.99.62, faraday_21
2c:41:38:ab:89:76, 10.116.99.63, faraday_22
2c:41:38:ab:89:80, 10.116.99.64, faraday_23
00:13:72:87:6b:e1, 10.116.99.71, ohm_0
00:13:72:87:d7:34, 10.116.99.101, newton_0
00:26:55:42:9b:c2, 10.116.99.102, newton_1
00:26:55:42:98:c4, 10.116.99.103, newton_2
00:26:55:42:9c:34, 10.116.99.104, newton_3
00:26:55:42:94:65, 10.116.99.105, newton_4
00:26:55:42:93:d6, 10.116.99.106, newton_5
00:26:55:42:95:76, 10.116.99.107, newton_6
00:26:55:42:9a:56, 10.116.99.108, newton_7
00:24:81:92:08:cb, 10.116.99.109, newton_8
00:24:81:92:07:f8, 10.116.99.110, newton_9
00:26:55:42:9a:41, 10.116.99.111, newton_10
00:26:55:42:9b:45, 10.116.99.112, newton_11
00:24:81:92:08:cd, 10.116.99.113, newton_12
00:26:55:42:9a:d4, 10.116.99.114, newton_13
00:24:81:92:08:cf, 10.116.99.115, newton_14
00:24:81:92:06:10, 10.116.99.116, newton_15
00:26:55:42:9c:39, 10.116.99.117, newton_16
00:26:55:42:92:e2, 10.116.99.118, newton_17
00:24:81:8f:4b:c3, 10.116.99.119, newton_18
00:26:55:42:9c:30, 10.116.99.120, newton_19
